IP:PORT, LOSS, DELAY
188.114.96.121:2408,0.00%,150 ms
162.159.192.138:890,0.00%,188 ms
162.159.192.135:890,0.00%,189 ms
162.159.192.114:1014,0.00%,191 ms
162.159.192.118:1014,0.00%,192 ms
162.159.192.135:1014,0.00%,193 ms
162.159.192.114:890,0.00%,194 ms
162.159.192.136:1014,0.00%,195 ms
162.159.192.215:890,0.00%,196 ms
188.114.98.128:4233,0.00%,198 ms
188.114.99.99:4177,0.00%,198 ms
188.114.98.145:4233,0.00%,198 ms
162.159.192.110:1014,0.00%,198 ms
188.114.98.201:500,0.00%,199 ms
188.114.97.89:854,0.00%,199 ms
188.114.98.183:859,0.00%,199 ms
188.114.98.9:500,0.00%,199 ms
188.114.98.74:500,0.00%,200 ms
188.114.99.121:500,0.00%,200 ms
188.114.99.103:859,0.00%,200 ms
188.114.98.207:859,0.00%,200 ms
188.114.98.246:500,0.00%,200 ms
188.114.99.45:859,0.00%,200 ms
188.114.98.27:859,0.00%,200 ms
162.159.192.118:890,0.00%,200 ms
162.159.192.92:890,0.00%,201 ms
188.114.98.153:859,0.00%,201 ms
188.114.98.44:500,0.00%,201 ms
188.114.98.9:859,0.00%,201 ms
188.114.98.44:859,0.00%,201 ms
162.159.192.110:890,0.00%,201 ms
188.114.99.67:4177,0.00%,202 ms
188.114.98.31:859,0.00%,202 ms
162.159.192.13:1014,0.00%,202 ms
188.114.98.46:859,0.00%,202 ms
188.114.98.143:4233,0.00%,202 ms
188.114.99.48:968,0.00%,202 ms
188.114.98.207:500,0.00%,202 ms
188.114.97.98:854,0.00%,203 ms
188.114.98.102:4233,0.00%,203 ms
188.114.98.196:500,0.00%,203 ms
188.114.99.48:4177,0.00%,203 ms
162.159.192.121:1014,0.00%,203 ms
188.114.99.85:3581,0.00%,203 ms
162.159.192.13:890,0.00%,203 ms
188.114.99.99:3581,0.00%,204 ms
162.159.192.189:1014,0.00%,204 ms
162.159.192.121:890,0.00%,204 ms
162.159.192.239:1014,0.00%,204 ms
188.114.98.215:500,0.00%,204 ms
188.114.98.132:854,0.00%,204 ms
188.114.99.103:500,0.00%,204 ms
188.114.97.9:854,0.00%,204 ms
188.114.99.149:859,0.00%,204 ms
188.114.98.211:859,0.00%,204 ms
188.114.98.27:500,0.00%,205 ms
188.114.97.89:4233,0.00%,205 ms
162.159.192.243:1014,0.00%,205 ms
188.114.98.147:500,0.00%,205 ms
162.159.192.187:890,0.00%,205 ms
188.114.99.88:4177,0.00%,205 ms
162.159.192.131:890,0.00%,205 ms
188.114.98.128:854,0.00%,205 ms
188.114.98.229:859,0.00%,205 ms
162.159.192.136:890,0.00%,205 ms
188.114.98.110:4233,0.00%,205 ms
188.114.99.56:4177,0.00%,205 ms
188.114.98.215:859,0.00%,205 ms
188.114.98.145:854,0.00%,205 ms
188.114.98.160:859,0.00%,205 ms
188.114.98.149:500,0.00%,205 ms
162.159.192.132:890,0.00%,206 ms
162.159.192.219:1014,0.00%,206 ms
188.114.98.246:859,0.00%,206 ms
188.114.98.13:854,0.00%,206 ms
162.159.192.49:1014,0.00%,206 ms
188.114.99.67:968,0.00%,206 ms
188.114.98.24:500,0.00%,206 ms
162.159.192.189:890,0.00%,206 ms
188.114.98.143:854,0.00%,206 ms
188.114.98.125:4233,0.00%,206 ms
188.114.98.226:859,0.00%,206 ms
188.114.99.74:4177,0.00%,206 ms
188.114.98.203:500,0.00%,206 ms
188.114.98.233:500,0.00%,206 ms
188.114.98.201:859,0.00%,207 ms
188.114.99.41:500,0.00%,207 ms
188.114.97.98:4233,0.00%,207 ms
188.114.99.45:500,0.00%,207 ms
188.114.98.93:500,0.00%,207 ms
188.114.98.13:4233,0.00%,207 ms
188.114.98.194:500,0.00%,207 ms
188.114.98.82:859,0.00%,207 ms
188.114.98.96:500,0.00%,207 ms
188.114.99.39:500,0.00%,207 ms
188.114.98.183:500,0.00%,207 ms
188.114.98.175:500,0.00%,207 ms
162.159.192.35:1014,0.00%,207 ms
162.159.192.30:1014,0.00%,207 ms
188.114.98.56:859,0.00%,207 ms
162.159.192.243:890,0.00%,208 ms
188.114.99.241:859,0.00%,208 ms
188.114.98.203:859,0.00%,208 ms
188.114.98.31:500,0.00%,208 ms
188.114.99.71:968,0.00%,208 ms
188.114.98.211:500,0.00%,208 ms
162.159.192.35:890,0.00%,208 ms
162.159.192.49:890,0.00%,208 ms
188.114.99.125:500,0.00%,208 ms
188.114.98.250:500,0.00%,208 ms
188.114.99.125:859,0.00%,208 ms
162.159.192.131:1014,0.00%,209 ms
162.159.192.239:890,0.00%,209 ms
188.114.99.89:3581,0.00%,209 ms
162.159.192.31:1014,0.00%,209 ms
188.114.98.157:859,0.00%,209 ms
188.114.98.196:859,0.00%,209 ms
188.114.99.129:859,0.00%,209 ms
188.114.98.114:854,0.00%,209 ms
188.114.99.149:500,0.00%,209 ms
